.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,
.,#,.,.,.,.,.,#,.,.,.,#,#,.,.,.,.,.,.,.,#,.,.,.,.,.,#,#,.,.,.,
.,.,.,.,.,.,#,.,#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,#,.,.,.,.,.,.,
.,.,.,.,.,#,.,#,.,.,.,#,#,.,.,.,#,.,#,.,.,#,.,.,#,.,.,#,.,.,#,
.,.,.,.,.,.,.,#,#,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,
.,.,.,.,.,.,.,#,.,#,#,.,#,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,#,.,.,
.,.,#,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,#,.,#,
.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,#,#,.,#,#,.,#,.,
.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,.,.,.,#,
#,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,.,#,.,.,.,.,.,.,#,.,.,.,.,.,#,
.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.,.,#,
.,.,#,.,.,#,#,.,.,.,.,#,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,#,.,.,
.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,.,.,.,.,#,.,.,#,.,.,#,.,.,
.,.,#,.,.,.,#,.,.,.,.,#,.,.,#,#,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,
.,.,.,.,.,#,.,#,.,.,.,.,.,.,#,.,.,#,.,.,.,.,#,.,#,#,.,#,.,.,#,
.,.,.,.,.,.,#,#,#,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.,.,#,.,.,
.,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,.,.,.,.,.,
.,.,.,.,.,.,.,.,.,#,.,.,#,.,.,.,#,.,.,.,.,.,.,#,#,.,.,.,.,.,.,
#,#,.,.,.,#,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,#,#,.,.,#,.,.,.,.,
.,.,.,#,#,.,.,.,#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,
.,#,.,#,.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,
.,.,.,.,#,.,#,.,.,#,.,.,#,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,
.,.,#,.,.,#,.,#,.,.,.,.,#,.,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,
.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,#,.,#,#,.,.,.,.,.,.,.,.,.,.,
